offence_year,offence_category,age_group,ticket_count
2020,Distracted Driving,Adult,33
2015,Distracted Driving,Adult,3
2020,Distracted Driving,Adult,9
2018,Distracted Driving,Adult,135
2020,Distracted Driving,Adult,2
2018,Distracted Driving,Adult,34
2021,Distracted Driving,Adult,21
2018,Distracted Driving,Adult,129
2022,Distracted Driving,Adult,29
2016,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2019,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,18
2014,Distracted Driving,Adult,123
2019,Distracted Driving,Youth,1
2015,Distracted Driving,Adult,29
2018,Distracted Driving,Adult,135
2014,Distracted Driving,Adult,14
2022,Distracted Driving,Adult,47
2020,Distracted Driving,Adult,23
2020,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,41
2015,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,2
2018,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,14
2019,Distracted Driving,Adult,14
2017,Distracted Driving,Adult,6
2016,Distracted Driving,Adult,10
2017,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,3
2017,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,51
2019,Distracted Driving,Adult,4
2020,Distracted Driving,Adult,9
2018,Distracted Driving,Adult,33
2014,Distracted Driving,Adult,39
2020,Distracted Driving,Adult,11
2022,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,5
2014,Distracted Driving,Adult,9
2015,Distracted Driving,Youth,1
2022,Distracted Driving,Adult,8
2017,Distracted Driving,Adult,10
2017,Distracted Driving,Adult,50
2021,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,50
2019,Distracted Driving,Adult,17
2017,Distracted Driving,Adult,68
2020,Distracted Driving,Adult,10
2014,Distracted Driving,Adult,1
2021,Distracted Driving,Youth,3
2015,Distracted Driving,Adult,6
2018,Distracted Driving,Adult,47
2019,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,4
2021,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,7
2017,Distracted Driving,Adult,24
2019,Distracted Driving,Adult,10
2015,Distracted Driving,Adult,2
2016,Distracted Driving,Adult,56
2022,Distracted Driving,Adult,15
2019,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,8
2021,Distracted Driving,Adult,12
2018,Distracted Driving,Adult,89
2021,Distracted Driving,Adult,9
2022,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,8
2020,Distracted Driving,Adult,30
2016,Distracted Driving,Adult,204
2014,Distracted Driving,Adult,19
2022,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,73
2018,Distracted Driving,Adult,19
2021,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,12
2014,Distracted Driving,Adult,25
2018,Distracted Driving,Adult,26
2014,Distracted Driving,Adult,36
2019,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,3
2015,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,13
2016,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,6
2017,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,23
2017,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,144
2014,Distracted Driving,Youth,1
2019,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,45
2018,Distracted Driving,Adult,17
2014,Distracted Driving,Adult,32
2015,Distracted Driving,Adult,13
2017,Distracted Driving,Adult,8
2022,Distracted Driving,Adult,43
2014,Distracted Driving,Adult,36
2015,Distracted Driving,Adult,17
2021,Distracted Driving,Adult,5
2017,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,1
2016,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,2
2020,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,46
2021,Distracted Driving,Adult,8
2022,Distracted Driving,Adult,4
2020,Distracted Driving,Adult,18
2020,Distracted Driving,Adult,12
2015,Distracted Driving,Adult,45
2018,Distracted Driving,Adult,47
2019,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,3
2018,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,7
2017,Distracted Driving,Adult,5
2019,Distracted Driving,Adult,2
2019,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,1
2018,Distracted Driving,Youth,1
2015,Distracted Driving,Adult,99
2015,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,50
2022,Distracted Driving,Adult,7
2016,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,39
2014,Distracted Driving,Adult,17
2014,Distracted Driving,Adult,388
2020,Distracted Driving,Adult,8
2020,Distracted Driving,Adult,10
2018,Distracted Driving,Adult,3
2021,Distracted Driving,Adult,2
2017,Distracted Driving,Adult,2
2017,Distracted Driving,Youth,2
2017,Distracted Driving,Adult,5
2022,Distracted Driving,Adult,120
2020,Distracted Driving,Adult,21
2017,Distracted Driving,Adult,40
2021,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,43
2015,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,58
2022,Distracted Driving,Adult,15
2021,Distracted Driving,Adult,8
2021,Distracted Driving,Adult,6
2022,Distracted Driving,Adult,21
2014,Distracted Driving,Adult,31
2015,Distracted Driving,Adult,148
2014,Distracted Driving,Adult,170
2021,Distracted Driving,Adult,8
2020,Distracted Driving,Adult,17
2014,Distracted Driving,Adult,139
2021,Distracted Driving,Adult,9
2015,Distracted Driving,Adult,14
2019,Distracted Driving,Adult,124
2018,Distracted Driving,Adult,64
2020,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,12
2015,Distracted Driving,Adult,116
2020,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,13
2015,Distracted Driving,Adult,54
2022,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,106
2017,Distracted Driving,Adult,138
2015,Distracted Driving,Adult,148
2022,Distracted Driving,Adult,37
2015,Distracted Driving,Adult,10
2014,Distracted Driving,Adult,32
2020,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,30
2019,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,52
2019,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,55
2016,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,6
2016,Distracted Driving,Adult,11
2016,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,4
2022,Distracted Driving,Adult,7
2017,Distracted Driving,Youth,1
2016,Distracted Driving,Adult,38
2015,Distracted Driving,Adult,43
2021,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,197
2014,Distracted Driving,Adult,24
2015,Distracted Driving,Adult,75
2015,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,79
2022,Distracted Driving,Adult,93
2020,Distracted Driving,Adult,12
2021,Distracted Driving,Adult,5
2018,Distracted Driving,Adult,39
2015,Distracted Driving,Adult,93
2014,Distracted Driving,Adult,24
2015,Distracted Driving,Adult,44
2017,Distracted Driving,Adult,1
2017,Distracted Driving,Youth,1
2014,Distracted Driving,Adult,6
2021,Distracted Driving,Adult,15
2017,Distracted Driving,Adult,32
2020,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,7
2017,Distracted Driving,Adult,31
2019,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,85
2014,Distracted Driving,Adult,23
2022,Distracted Driving,Adult,11
2017,Distracted Driving,Adult,1
2022,Distracted Driving,Youth,1
2018,Distracted Driving,Adult,13
2019,Distracted Driving,Adult,62
2018,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,26
2014,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,93
2016,Distracted Driving,Adult,26
2018,Distracted Driving,Adult,10
2014,Distracted Driving,Adult,34
2021,Distracted Driving,Adult,45
2018,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,22
2016,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,28
2022,Distracted Driving,Adult,18
2018,Distracted Driving,Adult,23
2021,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,88
2014,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,124
2016,Distracted Driving,Adult,29
2016,Distracted Driving,Adult,24
2015,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,7
2016,Distracted Driving,Adult,63
2021,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,28
2019,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2016,Distracted Driving,Adult,59
2016,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,51
2018,Distracted Driving,Adult,63
2020,Distracted Driving,Adult,729
2016,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,2
2019,Distracted Driving,Youth,2
2017,Distracted Driving,Adult,65
2018,Distracted Driving,Adult,7
2022,Distracted Driving,Adult,15
2015,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,87
2021,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,19
2015,Distracted Driving,Adult,42
2020,Distracted Driving,Adult,45
2020,Distracted Driving,Adult,13
2018,Distracted Driving,Adult,47
2021,Distracted Driving,Adult,63
2015,Distracted Driving,Adult,8
2014,Distracted Driving,Adult,5
2017,Distracted Driving,Adult,38
2016,Distracted Driving,Adult,9
2015,Distracted Driving,Adult,9
2014,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,5
2020,Distracted Driving,Adult,12
2020,Distracted Driving,Adult,8
2015,Distracted Driving,Adult,104
2017,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,3
2015,Distracted Driving,Adult,2
2017,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,10
2019,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,4
2017,Distracted Driving,Adult,18
2017,Distracted Driving,Adult,142
2019,Distracted Driving,Adult,8
2021,Distracted Driving,Adult,3
2021,Distracted Driving,Adult,11
2016,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,4
2016,Distracted Driving,Adult,2
2017,Distracted Driving,Adult,13
2017,Distracted Driving,Adult,95
2018,Distracted Driving,Adult,1
2020,Distracted Driving,Youth,2
2019,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,13
2016,Distracted Driving,Adult,5
2015,Distracted Driving,Adult,6
2014,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,33
2020,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,18
2019,Distracted Driving,Adult,7
2018,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,100
2014,Distracted Driving,Adult,3
2014,Distracted Driving,Adult,21
2021,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,42
2015,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,11
2015,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,62
2019,Distracted Driving,Adult,18
2014,Distracted Driving,Adult,7
2018,Distracted Driving,Youth,1
2015,Distracted Driving,Adult,7
2018,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,5
2021,Distracted Driving,Adult,38
2015,Distracted Driving,Adult,28
2019,Distracted Driving,Adult,8
2017,Distracted Driving,Adult,5
2014,Distracted Driving,Adult,9
2015,Distracted Driving,Adult,149
2018,Distracted Driving,Adult,2
2021,Distracted Driving,Adult,22
2022,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,67
2022,Distracted Driving,Adult,5
2018,Distracted Driving,Adult,4
2021,Distracted Driving,Adult,17
2014,Distracted Driving,Adult,192
2016,Distracted Driving,Adult,10
2019,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,54
2020,Distracted Driving,Adult,8
2018,Distracted Driving,Adult,44
2021,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,14
2017,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,78
2020,Distracted Driving,Adult,3
2020,Distracted Driving,Adult,13
2014,Distracted Driving,Adult,32
2016,Distracted Driving,Adult,49
2018,Distracted Driving,Adult,16
2017,Distracted Driving,Adult,29
2015,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,10
2014,Distracted Driving,Adult,30
2022,Distracted Driving,Adult,2
2016,Distracted Driving,Adult,7
2022,Distracted Driving,Adult,101
2017,Distracted Driving,Adult,4
2021,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,15
2014,Distracted Driving,Adult,51
2015,Distracted Driving,Adult,125
2018,Distracted Driving,Adult,32
2019,Distracted Driving,Adult,14
2017,Distracted Driving,Adult,3
2021,Distracted Driving,Adult,8
2017,Distracted Driving,Adult,16
2017,Distracted Driving,Adult,15
2017,Distracted Driving,Adult,35
2015,Distracted Driving,Adult,56
2019,Distracted Driving,Adult,6
2019,Distracted Driving,Adult,2
2021,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,43
2015,Distracted Driving,Adult,22
2015,Distracted Driving,Adult,32
2018,Distracted Driving,Adult,2
2018,Distracted Driving,Adult,92
2019,Distracted Driving,Adult,135
2017,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,29
2016,Distracted Driving,Adult,67
2021,Distracted Driving,Adult,27
2014,Distracted Driving,Adult,41
2015,Distracted Driving,Youth,1
2018,Distracted Driving,Adult,30
2019,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,2
2014,Distracted Driving,Adult,38
2019,Distracted Driving,Adult,11
2019,Distracted Driving,Adult,5
2021,Distracted Driving,Adult,3
2019,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,23
2017,Distracted Driving,Adult,5
2019,Distracted Driving,Adult,22
2016,Distracted Driving,Adult,58
2022,Distracted Driving,Adult,44
2020,Distracted Driving,Adult,3
2021,Distracted Driving,Adult,9
2017,Distracted Driving,Adult,5
2020,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,24
2017,Distracted Driving,Adult,45
2014,Distracted Driving,Adult,11
2022,Distracted Driving,Adult,13
2018,Distracted Driving,Adult,8
2021,Distracted Driving,Adult,5
2016,Distracted Driving,Adult,25
2022,Distracted Driving,Youth,1
2014,Distracted Driving,Adult,18
2021,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,18
2016,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,5
2015,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,2
2020,Distracted Driving,Adult,27
2022,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,3
2017,Distracted Driving,Adult,26
2020,Distracted Driving,Adult,8
2016,Distracted Driving,Adult,2
2021,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,161
2022,Distracted Driving,Adult,121
2020,Distracted Driving,Adult,22
2017,Distracted Driving,Adult,5
2016,Distracted Driving,Youth,1
2019,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,12
2018,Distracted Driving,Adult,7
2016,Distracted Driving,Adult,6
2016,Distracted Driving,Adult,37
2019,Distracted Driving,Adult,5
2016,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,7
2021,Distracted Driving,Adult,23
2019,Distracted Driving,Adult,54
2020,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,29
2015,Distracted Driving,Adult,19
2022,Distracted Driving,Adult,6
2020,Distracted Driving,Adult,21
2016,Distracted Driving,Adult,3
2022,Distracted Driving,Adult,18
2018,Distracted Driving,Adult,113
2015,Distracted Driving,Adult,84
2018,Distracted Driving,Adult,3
2014,Distracted Driving,Adult,2
2020,Distracted Driving,Adult,15
2017,Distracted Driving,Adult,2
2016,Distracted Driving,Adult,2
2015,Distracted Driving,Youth,1
2015,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,57
2014,Distracted Driving,Adult,23
2016,Distracted Driving,Adult,64
2015,Distracted Driving,Adult,74
2021,Distracted Driving,Adult,89
2016,Distracted Driving,Adult,2
2017,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,12
2015,Distracted Driving,Adult,32
2018,Distracted Driving,Adult,9
2017,Distracted Driving,Adult,58
2021,Distracted Driving,Adult,47
2020,Distracted Driving,Adult,8
2022,Distracted Driving,Adult,14
2020,Distracted Driving,Adult,14
2014,Distracted Driving,Adult,15
2016,Distracted Driving,Adult,3
2020,Distracted Driving,Adult,6
2016,Distracted Driving,Adult,2
2017,Distracted Driving,Adult,287
2019,Distracted Driving,Adult,6
2020,Distracted Driving,Adult,57
2019,Distracted Driving,Adult,20
2018,Distracted Driving,Adult,45
2018,Distracted Driving,Youth,2
2014,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,73
2018,Distracted Driving,Adult,27
2021,Distracted Driving,Adult,105
2014,Distracted Driving,Adult,33
2014,Distracted Driving,Adult,3
2016,Distracted Driving,Adult,25
2019,Distracted Driving,Adult,7
2017,Distracted Driving,Adult,3
2020,Distracted Driving,Adult,5
2019,Distracted Driving,Adult,10
2018,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,11
2014,Distracted Driving,Adult,15
2015,Distracted Driving,Adult,2
2020,Distracted Driving,Adult,14
2022,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,23
2020,Distracted Driving,Adult,3
2017,Distracted Driving,Adult,17
2018,Distracted Driving,Adult,41
2019,Distracted Driving,Adult,75
2019,Distracted Driving,Adult,4
2016,Distracted Driving,Adult,3
2016,Distracted Driving,Adult,178
2016,Distracted Driving,Adult,39
2019,Distracted Driving,Adult,5
2017,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,2
2018,Distracted Driving,Adult,8
2014,Distracted Driving,Adult,164
2016,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,6
2015,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,2
2021,Distracted Driving,Adult,10
2022,Distracted Driving,Adult,36
2018,Distracted Driving,Adult,5
2019,Distracted Driving,Adult,1
2016,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,15
2019,Distracted Driving,Adult,24
2018,Distracted Driving,Adult,17
2022,Distracted Driving,Adult,10
2020,Distracted Driving,Adult,14
2014,Distracted Driving,Adult,52
2014,Distracted Driving,Adult,1
2015,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,3
2022,Distracted Driving,Adult,6
2018,Distracted Driving,Youth,1
2015,Distracted Driving,Adult,50
2019,Distracted Driving,Adult,40
2016,Distracted Driving,Adult,103
2020,Distracted Driving,Adult,13
2016,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,11
2019,Distracted Driving,Adult,229
2021,Distracted Driving,Adult,12
2015,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,30
2017,Distracted Driving,Adult,19
2016,Distracted Driving,Adult,264
2017,Distracted Driving,Adult,4
2018,Distracted Driving,Adult,41
2022,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,30
2020,Distracted Driving,Adult,5
2015,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,16
2018,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,150
2020,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,2
2022,Distracted Driving,Adult,5
2015,Distracted Driving,Adult,18
2018,Distracted Driving,Adult,49
2022,Distracted Driving,Adult,4
2019,Distracted Driving,Adult,3
2020,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,27
2021,Distracted Driving,Adult,8
2017,Distracted Driving,Adult,2
2022,Distracted Driving,Adult,7
2021,Distracted Driving,Adult,20
2016,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,4
2021,Distracted Driving,Adult,17
2016,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,6
2017,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,1
2017,Distracted Driving,Youth,1
2019,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,24
2017,Distracted Driving,Adult,11
2015,Distracted Driving,Adult,45
2018,Distracted Driving,Adult,31
2015,Distracted Driving,Adult,6
2021,Distracted Driving,Adult,3
2016,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,3
2016,Distracted Driving,Adult,31
2021,Distracted Driving,Adult,4
2020,Distracted Driving,Adult,20
2016,Distracted Driving,Adult,30
2015,Distracted Driving,Adult,49
2019,Distracted Driving,Adult,12
2017,Distracted Driving,Adult,4
2014,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,10
2020,Distracted Driving,Adult,15
2018,Distracted Driving,Adult,2
2022,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,32
2018,Distracted Driving,Youth,1
2018,Distracted Driving,Adult,31
2017,Distracted Driving,Youth,1
2018,Distracted Driving,Adult,13
2019,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,5
2015,Distracted Driving,Adult,1
